player_1,player_2,Player_1_hand,Player_2_hand,surface
Roger Federer,Dusan Lajovic,R,R,Grass
Lukas Lacko,Benjamin Bonzi,R,R,Grass
Ivo Karlovic,Mikhail Youzhny,R,R,Grass
Jan Lennard Struff,Leonardo Mayer,R,R,Grass
Adrian Mannarino,Christian Garin,L,R,Grass
Ryan Harrison,Roberto Carballes Baena,R,R,Grass
Guillermo Garcia Lopez,Gastao Elias,R,R,Grass
Daniil Medvedev,Borna Coric,R,R,Grass
Sam Querrey,Jordan Thompson,R,R,Grass
Sergiy Stakhovsky,Joao Sousa,R,R,Grass
Paolo Lorenzi,Laslo Djere,R,R,Grass
Gael Monfils,Richard Gasquet,R,R,Grass
Philipp Kohlschreiber,Evgeny Donskoy,R,R,Grass
Gilles Muller,Michael Mmoh,L,R,Grass
Andreas Seppi,John Patrick Smith,R,L,Grass
Kevin Anderson,Norbert Gombos,R,R,Grass
Marin Cilic,Yoshihito Nishioka,R,L,Grass
Guido Pella,Jason Kubler,L,R,Grass
Mackenzie McDonald,Ricardas Berankis,R,R,Grass
Nicolas Jarry,Filip Krajinovic,R,R,Grass
Lucas Pouille,Denis Kudla,R,R,Grass
Dennis Novak,Peter Polansky,R,R,Grass
John Millman,Stefano Travaglia,R,U,Grass
Milos Raonic,Liam Broady,R,L,Grass
John Isner,Yannick Maden,R,U,Grass
Ruben Bemelmans,Steve Johnson,L,R,Grass
Aljaz Bedene,Cameron Norrie,R,L,Grass
Radu Albot,Pablo Carreno Busta,R,R,Grass
Stefanos Tsitsipas,Gregoire Barrere,R,R,Grass
Jared Donaldson,Malek Jaziri,R,R,Grass
Thomas Fabbiano,Yuki Bhambri,R,R,Grass
Stanislas Wawrinka,Grigor Dimitrov,R,R,Grass
Marcos Baghdatis,Dominic Thiem,R,R,Grass
Karen Khachanov,David Ferrer,R,R,Grass
Julien Benneteau,Marton Fucsovics,R,R,Grass
Francis Tiafoe,Fernando Verdasco,R,L,Grass
Kyle Edmund,Alex Bolt,R,L,Grass
Bradley Klahn,Yuichi Sugita,L,R,Grass
Horacio Zeballos,Guido Andreozzi,L,R,Grass
Novak Djokovic,Tennys Sandgren,R,R,Grass
Nick Kyrgios,Denis Istomin,R,R,Grass
Robin Haase,Marius Copil,R,R,Grass
Bernard Tomic,Hubert Hurkacz,R,R,Grass
Kei Nishikori,Christian Harrison,R,R,Grass
Damir Dzumhur,Maximilian Marterer,R,L,Grass
Ernests Gulbis,Jay Clarke,R,R,Grass
Taylor Harry Fritz,Lorenzo Sonego,R,R,Grass
Alexander Zverev,James Duckworth,R,R,Grass
Juan Martin Del Potro,Peter Gojowczyk,R,R,Grass
Feliciano Lopez,Federico Delbonis,L,L,Grass
Benoit Paire,Jason Jung,R,R,Grass
Denis Shapovalov,Jeremy Chardy,L,R,Grass
Matteo Berrettini,Jack Sock,U,R,Grass
Gilles Simon,Nikoloz Basilashvili,R,R,Grass
Stephane Robert,Albert Ramos,R,L,Grass
Matthew Ebden,David Goffin,R,R,Grass
Diego Sebastian Schwartzman,Mirza Basic,R,R,Grass
Jiri Vesely,Florian Mayer,L,R,Grass
Simone Bolelli,Pablo Cuevas,R,R,Grass
Fabio Fognini,Taro Daniel,R,R,Grass
Alex De Minaur,Marco Cecchinato,R,R,Grass
Pierre Hugues Herbert,Mischa Zverev,R,L,Grass
Mikhail Kukushkin,Vasek Pospisil,R,R,Grass
Rafael Nadal,Dudi Sela,L,R,Grass
